song_ID,title,singer,total,senti_ID
216,You Lost Me,Christina Aguilera,1846,0.8181818181818182
217,Hello Hello,丢火车,4125,1.0
218,漩涡,彭羚,9435,0.7692307692307693
219,阿牛,陈奕迅,12152,0.9166666666666666
220,Deep Breaths,Lookas，Cal,1114,0.9
221,那些花儿（电影《那时花开》片尾曲）,朴树,40587,0.9285714285714286
222,内疚,EO2,1481,0.5833333333333334
223,恋爱的犀牛,黄雨篱，刘逸诗,22009,0.6153846153846154
224,Feel It All (Band Jam),KT Tunstall,1970,0.7333333333333333
225,秋意浓,张学友,10345,0.7272727272727273
226,Underwater,Ana Zimmer,16820,0.9333333333333333
227,SAY YES,CHAGE and ASKA,1204,0.9166666666666666
228,真的爱你,Beyond,33400,0.8461538461538461
229,平凡之路（电影《后会无期》主题曲）,朴树,126693,0.7692307692307693
230,我只在乎你,邓丽君,26704,0.9285714285714286
231,护花使者,李克勤,20851,0.6363636363636364
232,固执,陈柏宇,3159,0.9285714285714286
233,浮夸,陈奕迅,18509,0.9285714285714286
234,暗涌,王菲,21337,0.8666666666666667
235,悠长假期,旅行团,1126,0.6666666666666666
236,殿书,奇然,7948,0.8333333333333334
237,奇妙能力歌,陈粒,26733,0.7857142857142857
238,TRUE LOVE,藤井フミヤ,1601,0.7142857142857143
239,让我愉快爱一次,周影,2094,0.8181818181818182
240,Dark Times,The Weeknd，Ed Sheeran,1833,1.0
241,啷个哩个啷,鹏泊,79697,0.8571428571428571
242,夏夜迷语（illusion in Summer night）,盘尼西林,1805,1.0
243,Evgeni's Waltz,Abel Korzeniowski,2605,0.0
244,失落沮丧歌,my little airport,2422,0.7142857142857143
245,云宫音,罗大佑,1973,1.0
246,你的城市,声音玩具,1560,0.7692307692307693
247,无归,叶里,16587,1.0
248,垃圾,卢巧音,8792,0.7272727272727273
249,捕梦,不才，情桑,2601,0.8
250,这一场恋爱,李岗霖,1464,0.9285714285714286
251,贝加尔湖畔,李健,44384,0.8
252,Cellophane,Sara Jackson-Holman,2002,1.0
253,Long Way Down,Hidden Charms,1629,0.6
254,嫌弃,梁咏琪,1089,0.3333333333333333
255,完,陈奕迅,12299,0.9333333333333333
256,悟空,戴荃,7183,1.0
257,躺在我怀中,吴文青树，房东的猫,5906,0.8571428571428571
258,Empty Note,Ghostly Kisses,1315,0.8888888888888888
259,蒙面(Demo),梁栋江,13229,1.0
260,99 Problems,Hugo,3533,0.7857142857142857
261,山阴路的夏天,李志,29978,1.0
262,苦情人,邓颖芝,4794,0.7777777777777778
263,爱的故事(上),孙耀威,26213,0.6666666666666666
264,裙下之臣,陈奕迅,5458,0.8666666666666667
265,成就感,郑融,8087,0.8
266,Become My Dream,Silya & The Sailors,5417,0.6923076923076923
267,Born Again,Josh Garrels,1597,0.8888888888888888
268,我都跟你走（I Will Follow You）,程璧,2637,1.0
269,你还要我怎样,薛之谦,166791,0.9285714285714286
270,春秋,张敬轩,26466,1.0
271,想把我唱给你听,老狼，王婧,33236,0.7142857142857143
272,生还者,余文乐,2965,0.6666666666666666
273,Gathering Of The Lost Loves,General Elektriks,1656,0.9333333333333333
274,Free To Be Me,Haroula Rose,3188,0.7142857142857143
275,落花流水,陈奕迅,22180,0.6363636363636364
276,哪吒,贰婶,4915,1.0
277,最寂寞的时候,卢广仲,1268,0.7857142857142857
278,空（电影《哥哥太爱我了怎么办》主题曲）,GENERATIONS from EXILE TRIBE,6502,1.0
279,错过,梁咏琪,19486,0.7857142857142857
280,下沙,游鸿明,6583,1.0
